Acoustic porosity,Bulk density (g/cc),Vp(0) (km/s),Vs(0) (km/s),C33 (GPa),C44 (GPa)
0.036,2.68,4.62,2.84,57.13,21.62
0.0363,2.68,4.68,2.88,58.61,22.18
0.0366,2.69,4.74,2.92,60.44,22.94
0.0368,2.69,4.77,2.95,61.43,23.38
0.0369,2.69,4.74,2.92,60.48,23.03
0.037,2.69,4.70,2.90,59.42,22.63
0.0374,2.68,4.64,2.86,57.79,21.98
0.0377,2.69,4.57,2.82,56.09,21.33
0.0377,2.70,4.54,2.80,55.49,21.06
0.0376,2.70,4.54,2.80,55.77,21.13
0.0377,2.71,4.55,2.80,56.29,21.35
0.0378,2.72,4.57,2.81,56.81,21.56
0.0382,2.73,4.61,2.84,58.12,22.01
0.0387,2.73,4.66,2.86,59.37,22.38
0.0393,2.72,4.69,2.87,59.84,22.50
0.0394,2.72,4.70,2.88,60.22,22.64
0.0395,2.72,4.72,2.89,60.65,22.81
0.0394,2.72,4.72,2.90,60.55,22.81
0.0392,2.71,4.72,2.90,60.38,22.82
0.039,2.69,4.74,2.92,60.42,22.91
0.0389,2.68,4.71,2.89,59.36,22.45
0.039,2.67,4.69,2.88,58.76,22.22
0.039,2.68,4.67,2.87,58.39,22.08
0.0393,2.69,4.69,2.89,59.26,22.47
0.0397,2.71,4.70,2.90,59.91,22.70
0.0399,2.72,4.76,2.93,61.53,23.27
0.04,2.73,4.78,2.94,62.26,23.52
0.04,2.73,4.80,2.95,62.82,23.70
0.0397,2.72,4.75,2.91,61.15,23.07
0.039,2.70,4.72,2.90,60.23,22.71
0.0382,2.68,4.70,2.89,59.26,22.36
0.0376,2.67,4.66,2.86,58.07,21.90
0.0375,2.68,4.69,2.88,58.86,22.22
0.0374,2.68,4.72,2.90,59.79,22.59
0.0376,2.69,4.77,2.93,61.07,23.13
0.0379,2.68,4.80,2.95,61.88,23.44
0.0381,2.68,4.83,2.97,62.44,23.67
0.038,2.68,4.82,2.96,62.17,23.53
0.0378,2.68,4.81,2.96,62.01,23.43
0.0371,2.68,4.77,2.93,61.09,23.04
0.0362,2.69,4.72,2.90,59.92,22.54
0.0356,2.68,4.66,2.86,58.19,21.88
0.035,2.68,4.63,2.84,57.41,21.63
0.0349,2.68,4.66,2.86,58.09,21.90
0.0347,2.68,4.69,2.88,58.86,22.21
0.0346,2.68,4.79,2.95,61.53,23.26
0.0347,2.68,4.94,3.04,65.35,24.73
0.0347,2.67,5.02,3.09,67.26,25.44
0.0347,2.67,5.05,3.11,68.19,25.76
0.0345,2.68,5.04,3.10,68.17,25.67
0.0344,2.69,5.04,3.09,68.23,25.62
0.0341,2.70,4.97,3.04,66.49,24.96
0.0339,2.70,4.86,2.98,63.81,24.02
0.034,2.69,4.75,2.92,60.83,22.98
0.0341,2.69,4.73,2.91,60.10,22.73
0.0342,2.69,4.70,2.89,59.39,22.49
0.0346,2.68,4.75,2.92,60.55,22.94
0.0349,2.68,4.85,2.98,62.94,23.81
0.0355,2.67,4.94,3.03,65.21,24.62
0.0352,2.67,4.98,3.06,66.33,25.02
0.0346,2.67,4.98,3.06,66.18,24.96
0.0341,2.67,4.98,3.06,66.05,24.92
0.0324,2.67,4.91,3.01,64.18,24.18
0.0305,2.66,4.82,2.96,61.93,23.26
0.0287,2.64,4.73,2.89,59.01,22.10
0.0279,2.60,4.73,2.88,58.19,21.58
0.027,2.57,4.73,2.86,57.43,21.09
0.0253,2.55,4.86,2.95,60.39,22.21
0.0235,2.56,5.05,3.06,65.08,23.97
0.0214,2.56,5.23,3.17,70.05,25.73
0.0192,2.56,5.26,3.18,70.75,25.87
0.0181,2.55,5.00,3.02,63.78,23.26
0.017,2.54,4.77,2.88,57.85,21.05
0.0148,2.55,4.69,2.81,55.93,20.16
0.0126,2.55,4.71,2.81,56.68,20.20
0.0114,2.57,4.83,2.87,59.99,21.15
0.0111,2.58,5.06,3.01,66.09,23.40
0.0109,2.60,5.30,3.16,73.13,26.01
0.0111,2.61,5.29,3.16,73.03,26.14
0.0117,2.62,5.23,3.14,71.72,25.81
0.0124,2.62,5.20,3.12,70.82,25.56
0.0132,2.62,5.17,3.11,69.87,25.27
0.0137,2.61,5.23,3.14,71.25,25.73
0.0142,2.60,5.29,3.18,72.68,26.21
0.0154,2.59,5.29,3.18,72.53,26.21
0.0168,2.59,5.19,3.12,69.82,25.30
0.0183,2.59,5.16,3.11,68.91,25.05
0.0197,2.60,5.12,3.09,68.19,24.85
0.0203,2.61,5.06,3.07,66.89,24.53
0.0209,2.62,5.00,3.04,65.64,24.21
0.0219,2.63,5.06,3.07,67.22,24.82
0.0226,2.63,5.09,3.10,68.19,25.17
0.0231,2.62,5.13,3.11,68.96,25.44
0.0233,2.62,5.13,3.12,69.15,25.50
0.0235,2.62,5.14,3.12,69.35,25.56
0.0238,2.62,5.11,3.10,68.41,25.21
0.0238,2.61,5.10,3.09,67.76,24.97
0.0235,2.60,5.10,3.09,67.58,24.88
0.0229,2.59,5.12,3.10,67.95,25.00
0.0225,2.60,5.16,3.13,69.09,25.45
0.0221,2.61,5.20,3.16,70.40,25.96
0.0216,2.61,5.20,3.16,70.78,26.11
0.0212,2.62,5.17,3.14,69.92,25.76
0.0212,2.62,5.14,3.12,69.29,25.56
0.0214,2.63,5.17,3.14,70.14,25.92
0.0215,2.63,5.20,3.16,71.05,26.30
0.0219,2.64,5.24,3.19,72.37,26.88
0.0225,2.64,5.26,3.21,73.21,27.23
0.0231,2.64,5.26,3.20,72.83,27.02
0.0238,2.62,5.23,3.18,71.67,26.46
0.0241,2.60,5.21,3.16,70.55,25.92
0.0244,2.58,5.19,3.14,69.62,25.47
0.0251,2.58,5.17,3.13,68.85,25.21
0.0262,2.59,5.12,3.10,67.77,24.91
0.0276,2.60,5.07,3.08,66.69,24.61
0.0282,2.61,5.00,3.05,65.18,24.21
0.0289,2.63,4.93,3.01,63.83,23.86
0.0298,2.65,4.92,3.01,63.98,24.02
0.0305,2.66,4.93,3.02,64.47,24.26
0.0309,2.66,4.88,3.00,63.48,23.89
0.0312,2.66,4.85,2.97,62.58,23.51
0.0313,2.66,4.83,2.96,62.07,23.30
0.0314,2.65,4.82,2.95,61.52,23.06
0.0314,2.65,4.83,2.95,61.68,23.10
0.0314,2.64,4.85,2.97,62.14,23.28
0.0312,2.65,4.83,2.96,61.73,23.12
0.0313,2.65,4.80,2.94,61.21,22.99
0.0313,2.66,4.78,2.93,60.79,22.89
0.0319,2.67,4.75,2.92,60.38,22.79
0.0326,2.67,4.77,2.93,60.81,23.01
0.0331,2.67,4.84,2.98,62.60,23.72
0.0339,2.67,4.85,2.99,62.82,23.85
0.0343,2.67,4.80,2.96,61.62,23.44
0.0347,2.68,4.76,2.94,60.61,23.11
0.0354,2.69,4.70,2.90,59.37,22.58
0.0362,2.70,4.57,2.81,56.42,21.30
0.0375,2.69,4.53,2.78,55.24,20.86
0.0391,2.69,4.53,2.79,55.12,20.91
0.04,2.68,4.49,2.77,54.17,20.59
0.0409,2.69,4.46,2.75,53.47,20.37
0.0427,2.71,4.48,2.77,54.30,20.74
0.044,2.71,4.49,2.78,54.59,20.91
0.0436,2.71,4.50,2.78,54.86,20.96
0.0426,2.70,4.53,2.80,55.33,21.10
0.0416,2.70,4.55,2.81,55.90,21.26
0.0388,2.69,4.47,2.75,53.81,20.39
0.0356,2.68,4.37,2.69,51.20,19.34
0.0323,2.66,4.36,2.68,50.53,19.03
0.0291,2.63,4.43,2.72,51.66,19.42
0.0276,2.61,4.60,2.80,55.25,20.56
0.0262,2.61,4.77,2.90,59.58,21.95
0.0233,2.61,5.05,3.08,66.76,24.74
0.0205,2.61,5.24,3.20,71.76,26.72
0.0176,2.61,5.30,3.22,73.56,27.13
0.0162,2.61,5.40,3.28,76.35,28.10
0.0148,2.61,5.51,3.34,79.31,29.12
0.012,2.60,5.56,3.34,80.29,28.96
0.0097,2.58,5.54,3.30,79.25,28.05
0.0086,2.56,5.52,3.27,78.07,27.36
0.0085,2.55,5.50,3.24,77.01,26.76
0.0088,2.55,5.47,3.22,76.27,26.45
0.0091,2.55,5.44,3.20,75.54,26.15
0.01,2.55,5.43,3.20,75.01,26.05
0.0111,2.55,5.39,3.19,74.16,25.94
0.0122,2.56,5.40,3.21,74.75,26.35
0.0126,2.58,5.41,3.22,75.48,26.73
0.0131,2.58,5.42,3.23,75.73,26.96
0.0138,2.60,5.43,3.25,76.58,27.50
0.0142,2.60,5.46,3.27,77.44,27.81
0.0143,2.60,5.45,3.26,77.11,27.66
0.0144,2.60,5.41,3.24,76.05,27.26
0.0144,2.60,5.41,3.24,76.16,27.31
0.0144,2.60,5.42,3.25,76.27,27.36
0.0147,2.60,5.40,3.24,75.67,27.18
0.0151,2.60,5.32,3.19,73.59,26.50
0.0158,2.60,5.25,3.16,71.60,25.86
0.0164,2.58,5.23,3.14,70.53,25.41
0.0168,2.56,5.26,3.15,70.94,25.51
0.0171,2.56,5.29,3.17,71.81,25.77
0.0178,2.56,5.39,3.23,74.42,26.80
0.0185,2.56,5.49,3.30,77.26,27.88
0.0192,2.56,5.51,3.31,77.96,28.14
0.0196,2.56,5.49,3.30,77.38,27.98
0.0199,2.56,5.47,3.29,76.81,27.80
0.0205,2.59,5.43,3.28,76.48,27.89
0.021,2.59,5.37,3.24,74.54,27.17
0.0211,2.59,5.30,3.20,72.66,26.49
0.0212,2.60,5.26,3.18,71.79,26.21
0.021,2.60,5.24,3.16,71.20,25.97
0.0207,2.59,5.21,3.15,70.41,25.65
0.0195,2.58,5.15,3.10,68.60,24.87
0.018,2.58,5.14,3.09,68.20,24.60
0.0165,2.58,5.12,3.07,67.68,24.34
0.0157,2.60,5.17,3.10,69.38,25.02
0.0148,2.61,5.22,3.14,71.12,25.71
0.0131,2.61,5.40,3.24,76.31,27.41
0.0115,2.63,5.45,3.28,78.14,28.22
0.0098,2.63,5.37,3.23,75.98,27.43
0.0082,2.63,5.27,3.14,73.14,25.97
0.0073,2.61,5.18,3.08,70.21,24.83
0.0064,2.58,5.10,3.02,67.02,23.60
0.0048,2.55,5.14,3.03,67.29,23.45
0.0034,2.53,5.21,3.06,68.82,23.67
0.0021,2.53,5.19,3.02,68.07,23.12
0.0018,2.53,5.08,2.96,65.42,22.17
0.0015,2.53,4.99,2.90,62.92,21.28
0.0014,2.53,4.94,2.88,61.87,20.93
0.0015,2.56,4.86,2.83,60.60,20.54
0.0018,2.58,4.84,2.82,60.53,20.53
0.0024,2.60,4.91,2.87,62.56,21.37
0.0027,2.61,4.91,2.87,63.06,21.58
0.0031,2.63,4.92,2.88,63.57,21.81
0.0039,2.65,5.06,2.97,67.66,23.35
0.0048,2.65,5.18,3.08,71.10,25.02
0.0058,2.65,5.23,3.12,72.29,25.73
0.0065,2.63,5.28,3.14,73.24,25.99
0.0072,2.61,5.33,3.17,74.21,26.25
0.0087,2.58,5.21,3.09,70.02,24.58
0.0103,2.56,5.02,2.98,64.71,22.72
0.0121,2.55,4.77,2.84,58.07,20.52
0.0135,2.53,4.49,2.68,50.97,18.14
0.0142,2.53,4.33,2.59,47.56,17.00
0.0148,2.53,4.19,2.51,44.49,15.95
0.0159,2.52,4.17,2.50,43.72,15.73
0.0166,2.52,4.25,2.55,45.54,16.38
0.017,2.52,4.48,2.68,50.54,18.13
0.017,2.52,4.72,2.82,56.11,20.05
0.017,2.55,4.95,2.96,62.34,22.33
0.0169,2.56,5.19,3.11,69.11,24.80
0.0167,2.58,5.37,3.22,74.39,26.78
0.0165,2.60,5.42,3.26,76.44,27.67
0.016,2.61,5.44,3.28,77.45,28.19
0.0157,2.61,5.40,3.26,76.30,27.76
0.0155,2.61,5.36,3.23,75.18,27.34
0.0149,2.63,5.29,3.19,73.51,26.84
0.0144,2.63,5.22,3.15,71.54,26.06
0.0144,2.65,5.18,3.13,71.08,26.00
0.0145,2.66,5.20,3.15,71.99,26.47
0.0146,2.66,5.23,3.17,72.89,26.81
0.0147,2.66,5.26,3.19,73.80,27.15
0.0154,2.66,5.22,3.17,72.52,26.74
0.0162,2.66,5.11,3.10,69.44,25.65
0.0169,2.66,5.05,3.07,67.84,25.08
0.0173,2.66,5.01,3.05,66.91,24.69
0.0177,2.65,4.98,3.02,65.59,24.16
0.0187,2.63,5.02,3.04,66.30,24.37
0.02,2.61,5.11,3.09,68.24,25.03
0.0213,2.60,5.16,3.12,69.18,25.31
0.0226,2.58,5.23,3.16,70.48,25.70
0.0231,2.62,5.27,3.19,72.64,26.72
0.0236,2.63,5.31,3.23,73.92,27.42
0.0238,2.62,5.26,3.20,72.58,26.88
0.0232,2.62,5.17,3.14,69.90,25.77
0.0219,2.62,5.07,3.07,67.30,24.69
0.0212,2.62,4.94,2.99,64.03,23.50
0.0205,2.62,4.82,2.92,61.01,22.40
0.0189,2.62,4.69,2.84,57.75,21.14
0.017,2.61,4.64,2.80,56.39,20.53
0.0155,2.61,4.69,2.83,57.56,20.99
0.0137,2.61,4.84,2.92,61.31,22.35
0.0126,2.61,5.09,3.06,67.70,24.43
0.0116,2.61,5.36,3.20,75.14,26.84
0.0093,2.60,5.45,3.25,77.14,27.52
0.0069,2.60,5.41,3.22,76.03,26.95
0.0046,2.56,5.37,3.18,73.97,25.99
0.0025,2.58,5.34,3.14,73.65,25.46
0.0017,2.60,5.34,3.12,74.09,25.31
0.001,2.61,5.34,3.10,74.52,25.17
0.0002,2.63,5.28,3.06,73.40,24.70
0.0001,2.65,5.16,3.00,70.54,23.88
0.0001,2.66,5.08,2.97,68.60,23.49
0.0001,2.66,5.01,2.92,66.81,22.69
0.0001,2.66,4.94,2.87,65.09,21.93
0.0001,2.66,4.94,2.87,65.00,21.88
0.0001,2.65,4.98,2.89,65.76,22.11
0.0001,2.65,5.02,2.91,66.75,22.44
0.0002,2.63,5.11,2.96,68.74,23.12
0.0004,2.61,5.28,3.07,72.97,24.61
0.0006,2.61,5.47,3.18,78.11,26.43
0.0012,2.61,5.56,3.24,80.71,27.45
0.0018,2.61,5.55,3.24,80.51,27.52
0.0026,2.61,5.49,3.22,78.66,27.08
0.003,2.61,5.36,3.14,74.97,25.79
0.0034,2.58,5.23,3.07,70.64,24.29
0.0041,2.58,5.19,3.04,69.61,23.91
0.0046,2.56,5.24,3.06,70.31,24.05
0.0052,2.56,5.24,3.07,70.55,24.14
0.0059,2.56,5.24,3.07,70.29,24.11
0.0063,2.56,5.22,3.06,69.96,24.03
0.0067,2.56,5.21,3.06,69.62,23.95
0.0076,2.56,5.18,3.05,68.93,23.83
0.0085,2.58,5.18,3.07,69.26,24.25
0.0094,2.60,5.19,3.09,69.99,24.82
0.0096,2.60,5.17,3.08,69.40,24.64
0.0099,2.60,5.15,3.07,68.82,24.48
0.0102,2.60,5.08,3.03,67.07,23.89
0.0103,2.56,5.07,3.00,65.85,23.13
0.0104,2.55,5.13,3.04,66.94,23.54
0.0106,2.53,5.17,3.07,67.60,23.86
0.0109,2.52,5.20,3.09,67.98,24.07
0.0112,2.50,5.23,3.12,68.38,24.28
0.0122,2.50,5.31,3.17,70.46,25.18
0.0131,2.50,5.35,3.20,71.41,25.63
0.0137,2.52,5.38,3.22,72.71,26.11
0.0139,2.52,5.36,3.21,72.41,26.00
0.0142,2.53,5.35,3.21,72.58,26.04
0.0147,2.53,5.20,3.11,68.46,24.47
0.0153,2.55,5.16,3.07,67.81,24.09
0.0157,2.55,5.21,3.10,69.17,24.54
0.0162,2.56,5.23,3.13,70.18,25.09
0.0164,2.58,5.27,3.16,71.72,25.75
0.0166,2.58,5.31,3.19,72.85,26.26
0.0174,2.58,5.23,3.14,70.47,25.49
0.0187,2.58,5.17,3.11,68.98,25.04
0.02,2.56,5.17,3.11,68.58,24.85
0.0214,2.56,5.18,3.12,68.70,25.03
0.0219,2.55,5.29,3.19,71.34,25.96
0.0224,2.55,5.40,3.26,74.42,27.05
0.0234,2.55,5.39,3.26,74.18,27.07
0.0241,2.55,5.25,3.18,70.54,25.77
0.0248,2.56,5.07,3.06,65.91,24.04
0.0253,2.58,4.86,2.94,60.76,22.33
0.0258,2.60,4.66,2.83,56.39,20.89
0.0272,2.62,4.48,2.73,52.65,19.58
0.0291,2.64,4.46,2.73,52.49,19.64
0.031,2.64,4.61,2.83,56.17,21.13
0.0327,2.64,4.75,2.92,59.75,22.60
0.0334,2.64,4.87,2.99,62.67,23.68
0.0341,2.64,4.99,3.07,65.71,24.82
0.035,2.63,5.03,3.08,66.49,25.00
0.0353,2.62,4.94,3.02,63.81,23.82
0.0353,2.61,4.85,2.96,61.40,22.80
0.0352,2.61,4.82,2.94,60.65,22.56
0.0351,2.62,4.79,2.92,60.11,22.40
0.0354,2.64,4.80,2.94,60.72,22.72
0.0362,2.64,4.84,2.97,61.95,23.27
0.0377,2.64,4.87,2.99,62.73,23.60
0.0394,2.64,4.87,2.99,62.43,23.55
0.04,2.63,4.86,2.99,62.31,23.52
0.0406,2.63,4.86,2.99,62.32,23.53
0.0414,2.64,4.91,3.02,63.48,24.02
0.0421,2.64,4.90,3.01,63.24,23.92
0.0426,2.63,4.87,2.99,62.51,23.56
0.0429,2.62,4.82,2.96,60.89,22.90
0.0433,2.61,4.77,2.92,59.36,22.28
0.044,2.61,4.67,2.85,56.93,21.25
0.0451,2.61,4.60,2.81,55.33,20.64
0.0465,2.62,4.55,2.78,54.14,20.24
0.0479,2.63,4.51,2.77,53.62,20.12
0.0483,2.64,4.50,2.76,53.59,20.17
0.0488,2.65,4.49,2.76,53.50,20.20
0.0491,2.66,4.50,2.77,53.88,20.37
0.0487,2.66,4.55,2.79,54.91,20.74
0.0479,2.66,4.57,2.80,55.41,20.89
0.047,2.66,4.53,2.78,54.69,20.59
0.0467,2.67,4.51,2.77,54.12,20.41
0.0463,2.67,4.48,2.75,53.56,20.23
0.0458,2.67,4.51,2.77,54.28,20.58
0.0455,2.67,4.54,2.80,55.18,20.97
0.0451,2.66,4.59,2.83,56.13,21.32
0.0449,2.65,4.62,2.84,56.51,21.39
0.0447,2.64,4.65,2.85,56.98,21.50
0.0443,2.64,4.67,2.87,57.47,21.65
0.0444,2.64,4.66,2.86,57.40,21.62
0.0456,2.65,4.65,2.86,57.44,21.69
0.0479,2.66,4.69,2.89,58.49,22.18
0.0493,2.66,4.75,2.92,60.00,22.76
0.0507,2.66,4.80,2.96,61.45,23.32
0.0541,2.66,4.80,2.96,61.28,23.24
0.0575,2.65,4.71,2.90,58.77,22.22
0.0605,2.64,4.59,2.81,55.65,20.86
0.0617,2.63,4.47,2.73,52.41,19.57
0.0629,2.62,4.35,2.65,49.54,18.43
0.0653,2.62,4.29,2.61,48.23,17.77
0.0678,2.61,4.30,2.60,48.31,17.71
0.0703,2.61,4.31,2.60,48.46,17.64
0.0727,2.61,4.31,2.60,48.51,17.57
0.0738,2.62,4.32,2.60,48.91,17.71
0.0749,2.62,4.34,2.61,49.26,17.84
0.0764,2.62,4.35,2.62,49.56,17.98
0.0765,2.62,4.34,2.62,49.28,17.90
0.0752,2.62,4.32,2.61,48.91,17.80
0.0741,2.63,4.32,2.61,48.95,17.87
0.073,2.64,4.31,2.61,49.03,17.94
0.0702,2.64,4.32,2.62,49.35,18.11
0.0674,2.63,4.36,2.65,50.17,18.46
0.0658,2.63,4.37,2.66,50.30,18.55
0.0648,2.63,4.38,2.67,50.51,18.73
0.0643,2.65,4.47,2.73,52.89,19.69
0.0638,2.66,4.56,2.79,55.43,20.72
0.0625,2.67,4.56,2.79,55.44,20.82
0.0611,2.68,4.53,2.77,54.85,20.62
0.0598,2.68,4.50,2.76,54.36,20.39
0.059,2.68,4.41,2.70,52.18,19.57
0.0583,2.67,4.32,2.65,50.01,18.76
0.0567,2.67,4.34,2.65,50.31,18.82
0.0549,2.67,4.35,2.66,50.66,18.99
0.0535,2.68,4.36,2.68,51.00,19.19
0.0526,2.68,4.39,2.69,51.56,19.44
0.0523,2.67,4.44,2.72,52.70,19.84
0.052,2.67,4.49,2.75,53.83,20.23
0.0512,2.66,4.53,2.77,54.50,20.46
0.0497,2.65,4.52,2.77,54.08,20.36
0.0477,2.65,4.56,2.81,55.08,20.83
0.046,2.64,4.66,2.87,57.36,21.74
0.0454,2.64,4.72,2.91,58.91,22.30
0.0448,2.64,4.79,2.94,60.49,22.86
0.0442,2.63,4.88,3.00,62.77,23.65
0.0443,2.63,4.91,3.01,63.49,23.90
0.0455,2.64,4.88,3.00,62.87,23.71
0.0465,2.64,4.89,3.01,63.31,23.93
0.0474,2.65,4.90,3.02,63.73,24.14
0.0497,2.65,4.93,3.04,64.53,24.46
0.052,2.65,4.91,3.02,63.96,24.19
0.0541,2.64,4.77,2.93,60.15,22.63
0.0562,2.63,4.63,2.83,56.21,20.96
0.0573,2.62,4.50,2.75,53.06,19.73
0.0583,2.61,4.39,2.67,50.28,18.65
0.0605,2.61,4.30,2.61,48.24,17.80
0.0628,2.62,4.30,2.61,48.47,17.91
0.0652,2.63,4.31,2.63,48.95,18.14
0.0663,2.63,4.32,2.63,49.18,18.22
0.0673,2.63,4.33,2.63,49.30,18.26
0.0688,2.63,4.36,2.65,50.07,18.51
0.0695,2.63,4.39,2.67,50.60,18.67
0.0694,2.63,4.39,2.67,50.70,18.71
0.0689,2.63,4.38,2.66,50.50,18.64
0.0686,2.63,4.38,2.66,50.34,18.58
0.0683,2.63,4.37,2.66,50.25,18.54
0.0676,2.64,4.38,2.66,50.68,18.72
0.0667,2.65,4.37,2.66,50.71,18.79
0.0656,2.66,4.35,2.65,50.17,18.63
0.0651,2.65,4.32,2.63,49.61,18.40
0.0646,2.64,4.30,2.62,48.95,18.14
0.0637,2.64,4.27,2.60,48.15,17.84
0.0629,2.64,4.26,2.60,47.99,17.85
0.062,2.66,4.30,2.63,49.02,18.34
0.0613,2.67,4.32,2.65,49.92,18.79
0.061,2.68,4.32,2.65,50.08,18.88
0.0607,2.68,4.32,2.65,50.02,18.89
0.0601,2.68,4.36,2.68,50.80,19.15
0.0587,2.67,4.40,2.70,51.78,19.49
0.0562,2.67,4.43,2.72,52.55,19.77
0.0528,2.67,4.45,2.73,52.82,19.90
0.051,2.66,4.40,2.70,51.53,19.38
0.0492,2.66,4.35,2.67,50.32,18.90
0.0458,2.66,4.29,2.63,48.93,18.37
0.0428,2.68,4.26,2.62,48.72,18.37
0.04,2.70,4.29,2.65,49.78,18.95
0.0386,2.72,4.31,2.66,50.55,19.28
0.0373,2.73,4.33,2.67,51.10,19.53
0.0346,2.72,4.43,2.74,53.44,20.48
0.0322,2.69,4.63,2.86,57.60,22.00
0.0295,2.65,4.83,2.96,61.89,23.28
0.0267,2.63,5.07,3.11,67.65,25.41
0.0255,2.62,5.18,3.17,70.30,26.32
0.0244,2.63,5.28,3.23,73.34,27.37
0.0229,2.63,5.14,3.13,69.30,25.70
0.0228,2.62,4.95,3.01,64.23,23.70
0.0241,2.61,4.89,2.97,62.46,23.05
0.025,2.60,4.95,3.01,63.90,23.64
0.0259,2.61,5.01,3.05,65.57,24.32
0.0277,2.61,5.04,3.08,66.48,24.80
0.0296,2.62,5.00,3.06,65.50,24.48
0.0322,2.62,4.87,2.98,62.26,23.31
0.0357,2.63,4.80,2.94,60.80,22.83
0.038,2.64,4.81,2.95,61.20,23.06
0.0403,2.65,4.82,2.96,61.42,23.21
0.0451,2.64,4.93,3.03,64.11,24.29
0.0498,2.64,5.05,3.11,67.40,25.58
0.0541,2.63,4.99,3.07,65.57,24.82
0.0562,2.62,4.86,2.98,61.76,23.31
0.0583,2.60,4.73,2.90,58.20,21.90
0.062,2.59,4.58,2.79,54.40,20.21
0.0644,2.59,4.40,2.66,50.16,18.37
0.0658,2.60,4.31,2.60,48.28,17.59
0.0662,2.61,4.29,2.59,48.09,17.59
0.0662,2.62,4.30,2.60,48.42,17.73
0.0662,2.63,4.31,2.61,48.65,17.84
0.0659,2.62,4.43,2.68,51.43,18.84
0.0652,2.62,4.55,2.75,54.10,19.85
0.0642,2.61,4.63,2.81,55.77,20.64
0.0636,2.59,4.80,2.92,59.65,22.11
0.0631,2.58,4.98,3.03,63.90,23.73
0.0628,2.56,5.14,3.15,67.61,25.38
0.0632,2.56,5.20,3.19,68.99,26.04
0.0641,2.55,5.12,3.14,66.88,25.23
0.065,2.55,4.91,3.01,61.54,23.09
0.0655,2.55,4.68,2.87,55.85,20.92
0.0661,2.55,4.47,2.73,51.03,19.08
0.0677,2.56,4.32,2.63,47.89,17.69
0.0701,2.58,4.27,2.58,46.99,17.12
0.0735,2.60,4.30,2.58,47.90,17.29
0.0773,2.60,4.29,2.57,47.95,17.21
0.079,2.61,4.29,2.57,47.97,17.15
0.0808,2.61,4.29,2.56,47.99,17.08
0.0836,2.61,4.33,2.57,48.90,17.27
0.0856,2.62,4.35,2.58,49.61,17.47
0.0865,2.62,4.36,2.59,49.76,17.52
0.0864,2.61,4.28,2.54,47.87,16.87
0.0863,2.61,4.20,2.49,46.15,16.27
0.0858,2.62,4.16,2.48,45.40,16.06
0.0853,2.62,4.12,2.45,44.46,15.80
0.0847,2.62,4.06,2.43,43.26,15.42
0.084,2.62,4.04,2.41,42.76,15.27
0.0837,2.62,4.01,2.40,42.05,15.02
0.0834,2.61,3.98,2.38,41.35,14.78
0.0833,2.61,3.98,2.38,41.36,14.77
0.0838,2.62,4.05,2.41,42.82,15.25
0.0841,2.62,4.17,2.48,45.51,16.16
0.0836,2.62,4.29,2.56,48.22,17.14
0.0832,2.63,4.41,2.63,51.15,18.19
0.082,2.63,4.40,2.63,50.82,18.13
0.0813,2.63,4.34,2.60,49.70,17.77
0.0809,2.63,4.33,2.58,49.39,17.59
0.0805,2.63,4.33,2.57,49.37,17.43
0.0802,2.63,4.37,2.60,50.28,17.83
0.08,2.64,4.41,2.63,51.22,18.23
0.0792,2.64,4.45,2.69,52.30,19.01
0.0781,2.64,4.49,2.72,53.20,19.49
0.0773,2.64,4.53,2.74,54.24,19.75
0.0773,2.64,4.53,2.73,54.08,19.66
0.0773,2.64,4.52,2.72,53.90,19.56
0.0777,2.64,4.51,2.71,53.63,19.40
0.0777,2.64,4.46,2.68,52.54,18.98
0.0779,2.64,4.35,2.62,49.83,18.04
0.0796,2.64,4.24,2.55,47.30,17.17
0.0808,2.63,4.17,2.51,45.77,16.57
0.082,2.63,4.10,2.47,44.28,15.98
0.0841,2.62,4.03,2.41,42.67,15.23
0.086,2.62,3.95,2.34,40.81,14.37
0.088,2.61,3.86,2.28,38.87,13.60
0.0898,2.61,3.76,2.22,36.83,12.84
0.091,2.60,3.69,2.18,35.41,12.30
0.0923,2.59,3.63,2.13,34.17,11.81
0.0951,2.59,3.68,2.15,35.14,11.94
0.0967,2.59,3.78,2.19,37.06,12.42
0.0965,2.58,3.88,2.25,38.86,13.01
0.0959,2.57,3.89,2.26,38.93,13.08
0.0952,2.56,3.90,2.27,39.04,13.17
0.0941,2.57,3.86,2.25,38.40,13.04
0.0936,2.60,3.80,2.21,37.53,12.66
0.0938,2.62,3.70,2.14,35.78,12.00
0.0938,2.63,3.62,2.11,34.41,11.73
0.0937,2.64,3.60,2.11,34.24,11.74
0.0936,2.64,3.59,2.11,34.01,11.74
0.0932,2.64,3.57,2.11,33.67,11.70
0.0923,2.63,3.58,2.11,33.71,11.74
0.0915,2.62,3.64,2.15,34.80,12.08
0.0911,2.62,3.64,2.14,34.67,12.01
0.0906,2.61,3.64,2.14,34.57,11.97
0.0897,2.61,3.59,2.12,33.72,11.71
0.0902,2.61,3.58,2.11,33.38,11.57
0.0919,2.61,3.50,2.05,31.97,11.00
0.0939,2.61,3.42,2.00,30.51,10.44
0.0946,2.60,3.43,2.01,30.69,10.46
0.0954,2.60,3.45,2.01,30.89,10.49
0.0963,2.60,3.44,2.00,30.79,10.36
0.0965,2.60,3.37,1.95,29.59,9.91
